,Name,Adress,String,Kontakt,Bundesland,ICU low care,ICU high care,ECMO,Stand,Location
10,Asklepiosklinik Melsungen,"Kasselerstr. 80, 34212 Melsungen",Asklepiosklinik Melsungen Kasselerstr. 80 34212 Melsungen,Website,0,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 14:18,"(51.13725145, 9.540247466283805)"
11,St. Elisabeth Krankenhaus Jülich,"Kurfürstenstr. 22, 52428 Jülich",St. Elisabeth Krankenhaus Jülich Anästhesie und Intensivmedizin Kurfürstenstr. 22 52428 Jülich,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 13:21,"(50.9257271, 6.3639052)"
12,Helios St. Marienberg Klinik Helmstedt,"Conringstraße 26, 38350 Helmstedt",Helios St. Marienberg Klinik Helmstedt Innere Medizin II Conringstraße 26 38350 Helmstedt,ITS / Covid19 Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 13:33,"(52.2318762, 10.999309077774718)"
13,Klinikum Christophsbad Göppingen,"Faurndauer Straße 6-28, 73035 Göppingen",Klinikum Christophsbad Göppingen Neurologie Faurndauer Straße 6-28 73035 Göppingen,NE 1 Website,BW,Verfügbar,Ausgelastet,Nicht verfügbar,21.03.2020 13:08,"(48.7007419, 9.644435391172895)"
14,Krankenhaus Düren gGmbH,"Roonstr. 30, 52351 Düren",Krankenhaus Düren gGmbH Klinik für Anästhesie und Intensivmedizin Roonstr. 30 52351 Düren,1b und 2C Website,NRW,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 12:56,"(50.808187399999994, 6.497998343558919)"
15,Asklepios Klinikum Schwalmstadt,"Krankenhausstraße 27, 34613 Schwalmstadt",Asklepios Klinikum Schwalmstadt interdisziplinär Krankenhausstraße 27 34613 Schwalmstadt,Intensivstation Website,HE,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 12:47,"(50.922048950000004, 9.256298595332698)"
16,"Heinrich-Braun-Klinikum Zwickau gGmbH, Intensivbereiche","Karl-Keil-Str. 35, 8060 Zwickau","Heinrich-Braun-Klinikum Zwickau gGmbH, Intensivbereiche Karl-Keil-Str. 35 8060 Zwickau",Intensivbereiche Website,SN,Begrenzt,Begrenzt,Begrenzt,21.03.2020 12:42,"(50.7219068, 12.4326655)"
17,Westküstenklinikum Heide,"Esmarchstrasse 50, 25746 Heide",Westküstenklinikum Heide Medizinische Klinik2/ Klinik für Anästhesie und oprative Intensivmedizin Esmarchstrasse 50 25746 Heide,Interdisziplinäre Intensivstation Website,SH,Ausgelastet,Verfügbar,Begrenzt,21.03.2020 12:40,"(54.1998975, 9.077679293214988)"
18,DRK Krankenhaus Altenkirchen,"Leuzbacherweg 21, 57610 Altenkirchen",DRK Krankenhaus Altenkirchen Anästhesiologie Leuzbacherweg 21 57610 Altenkirchen,Intensiv Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 11:44,"(None, None)"
19,St. Elisabeth-Hospital Beckum,"Elisabethstraße 10, 59269 Beckum",St. Elisabeth-Hospital Beckum Anästhesiologie und Intensivmedizin Elisabethstraße 10 59269 Beckum,Intensivstation Website,NRW,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 11:30,"(51.75269, 8.038797507449209)"
20,Klinikum Mittleres Erzgebirge,"Alte Marienberger Str. 52, 9405 Zschopau",Klinikum Mittleres Erzgebirge Klinik für Anaesthesie und Intensivmedizin Alte Marienberger Str. 52 9405 Zschopau,ITS/IMC Website,SN,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 11:23,"(50.73522345000001, 13.079118377095224)"
21,"Charité, Campus Virchow-Klinikum , Chirurgische Klinik, ITS 21i Schwerpunkt Transplantation","Augustenburger Platz 1, 13353 Berlin","Charité, Campus Virchow-Klinikum , Chirurgische Klinik, ITS 21i Schwerpunkt Transplantation Chirurgische Klinik Augustenburger Platz 1 13353 Berlin",21i Website,BE,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 11:01,"(52.5422772, 13.3473804)"
22,Evang. Amalie Sieveking Krankenhaus,"Haselkamp 33, 22359 Hamburg",Evang. Amalie Sieveking Krankenhaus Klinik für Anästhesiologie&Intensivmedizin Haselkamp 33 22359 Hamburg,Intensiv Website,HH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:39,"(53.6411023, 10.1510275)"
23,Städtsiches Krankenhaus Nettetal GmbH,"Sassenfelderkirchweg 1, 41334 Nettetal",Städtsiches Krankenhaus Nettetal GmbH Kardiologie Sassenfelderkirchweg 1 41334 Nettetal,Intensiv Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:24,"(None, None)"
24,Darmstädter Kinderkliniken Prinzessin Margaret,"Dieburger Str. 31, 64287 Darmstadt",Darmstädter Kinderkliniken Prinzessin Margaret Pädiatrische Intensivstation Dieburger Str. 31 64287 Darmstadt,Station D Website,HE,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:22,"(49.8775579, 8.6647107)"
25,Universitätsklinikum Frankfurt am Main,"Theodor-Stern-Kai 7, 60590 Frankfurt am Main","Universitätsklinikum Frankfurt am Main Anästhesiologie, Intensivmedizin und Schmerztherapie Theodor-Stern-Kai 7 60590 Frankfurt am Main","C1, anästh.-operative Intensivstation Website",HE,Verfügbar,Verfügbar,Verfügbar,21.03.2020 10:59,"(50.0950518, 8.660726131665616)"
26,Antonius Krankenhaus Köln,"Schillerstrasse 23, 50968 Köln",Antonius Krankenhaus Köln Innere Medizin Schillerstrasse 23 50968 Köln,Intenisvstation Website,NRW,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 10:31,"(50.9105366, 6.9668586920660305)"
27,Sana Kliniken Ostholstein GmbH - Klinik Eutin,"Hospitalstraße 22, 23701 Eutin",Sana Kliniken Ostholstein GmbH - Klinik Eutin Kardiologie Hospitalstraße 22 23701 Eutin,interdisziplinäre Intensivstation Website,SH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 10:05,"(54.132671349999995, 10.600278897818413)"
28,AGAPLESION Ev. Krankenhaus Mittelhessen,"Paul-Zipp-Straße 171, 35398 Gießen",AGAPLESION Ev. Krankenhaus Mittelhessen Paul-Zipp-Straße 171 35398 Gießen,Website,HE,Verfügbar,Verfügbar,Verfügbar,21.03.2020 09:56,"(50.5922772, 8.649156839102563)"
29,Städtische Kliniken Mönchengladbach,"Hubertusstraße 100, 41239 Mönchengladbach",Städtische Kliniken Mönchengladbach Hubertusstraße 100 41239 Mönchengladbach,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:36,"(51.1580847, 6.4199089)"
30,Helios Klinik Blankenhain,"Wirthstraße 5, 99444 Blankenhain",Helios Klinik Blankenhain Anästhesie und Intensivmedizin Wirthstraße 5 99444 Blankenhain,Intensivstation Website,TH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 11:56,"(50.8598339, 11.3409435)"
31,Kreisklinik Bogen,"Mussinanstraße 8, 94327 Bogen",Kreisklinik Bogen Interdisziplinäre Intensivstation Mussinanstraße 8 94327 Bogen,2.2 Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 08:42,"(48.9096886, 12.6971313)"
32,Helios Klinik Wipperfürth,"Alte Kölner Straße 9, 51688 Wipperfürth",Helios Klinik Wipperfürth Anästhesie/Intensivmedizin Alte Kölner Straße 9 51688 Wipperfürth,1C Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 08:37,"(51.11307085, 7.385360304347826)"
33,Klinikum Bielefeld gGmbH,"Teutoburger Straße 50, 33604 Bielefeld",Klinikum Bielefeld gGmbH Teutoburger Straße 50 33604 Bielefeld,KAINS - Intensivkoordination Website,NRW,Begrenzt,Verfügbar,Begrenzt,21.03.2020 11:00,"(52.0147509, 8.543106159413552)"
34,St. Elisabeth Hospital Iserlohn,"Hochstraße 63, 58638 Iserlohn",St. Elisabeth Hospital Iserlohn Anästhesie und Intensivmedizin Hochstraße 63 58638 Iserlohn,Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 23:26,"(51.3794943, 7.6914737)"
35,Klinik Kitzinger Land,"Keltenstraße 67, 97318 Kitzingen","Klinik Kitzinger Land Anästhesie, Intensiv- und Notfallmedizin Keltenstraße 67 97318 Kitzingen",Interdisziplinäre Intensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 23:16,"(49.74352415, 10.138491833144943)"
36,Asklepios Klinik Seligenstadt,"Dudenhöfer Straße 9, 63500 Seligenstadt",Asklepios Klinik Seligenstadt interdisziplinär Dudenhöfer Straße 9 63500 Seligenstadt,Intensivstation Website,HE,Begrenzt,Ausgelastet,Nicht verfügbar,20.03.2020 22:13,"(50.0422862, 8.9652251)"
37,OSK Westallgäuklinikum Wangen,"Am Engelberg 29, 88239 Wangen im Allgäu","OSK Westallgäuklinikum Wangen Klinik für Anästhesie, Intensiv-, Notfall- und Schmerzmedizin Am Engelberg 29 88239 Wangen im Allgäu",Interdisziplinäre Intensivstation Website,BW,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 09:11,"(47.6930447, 9.8441052)"
38,Bethanien Krankenhaus Solingen,"Aufderhöher Straße 169, 42699 Solingen","Bethanien Krankenhaus Solingen Klinik für Pneumologie, Allergologie und Beatmungsmedizin Aufderhöher Straße 169 42699 Solingen",Intensivstation Website,NRW,Verfügbar,Verfügbar,Verfügbar,20.03.2020 22:07,"(51.1380949, 7.0123146)"
39,Kreiskliniken Darmstadt-Dieburg Standort Jugenheim,"Hauptstrasse 30, 64342 Seeheim-Jugenheim",Kreiskliniken Darmstadt-Dieburg Standort Jugenheim Zentrum für Akute u. Postakute Intensivmedizin Hauptstrasse 30 64342 Seeheim-Jugenheim,Intensivstation Website,HE,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 01:09,"(49.7534271, 8.6383808)"
40,St. Willibrord-Spital Emmerich-Rees,"Willibrordstraße 9, 46446 Emmerich",St. Willibrord-Spital Emmerich-Rees Anästhesiologie und Intensivmedizin Willibrordstraße 9 46446 Emmerich,Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:31,"(51.832927049999995, 6.239484143613899)"
41,Euregio-Klinik Albert-Schweitzer-Straße,"Albert-Schweitzer-Straße 10, 48527 Nordhorn",Euregio-Klinik Albert-Schweitzer-Straße Interdisziplinäre Intensivstation Albert-Schweitzer-Straße 10 48527 Nordhorn,Interdisziplinäre Intensivstation Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 13:37,"(52.44303275, 7.065972339740962)"
42,St.- Elisabeth Krankenhaus Dorsten,"Pfarrer-Wilhelm-Schmitz-Straße 2, 46282 Dorsten",St.- Elisabeth Krankenhaus Dorsten Interdisziplinäre Intensivstation Pfarrer-Wilhelm-Schmitz-Straße 2 46282 Dorsten,Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 17:49,"(51.6577539, 6.9568149)"
43,Helios Klinikum Krefeld,"Lutherplatz 40, 47805 Krefeld",Helios Klinikum Krefeld Konservative und operative Intensivmedizin Lutherplatz 40 47805 Krefeld,B1A1/B1C1/B1A2/B1B2/A2A1/A1A1-D Website,NRW,Verfügbar,Verfügbar,Verfügbar,20.03.2020 19:46,"(51.3209451, 6.5660868)"
44,"Evangelisches Klinikum Bethel, Bethel","Burgsteig 13, 33617 Bielefeld","Evangelisches Klinikum Bethel, Bethel AINS, Innere Medizin, Kinderheilkunde Burgsteig 13 33617 Bielefeld","M1, M10, K1, K2, AN-01, AN-02 Website",NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 19:19,"(52.0139033, 8.5253601)"
45,Klinik Neustadt a. d. Aisch,"Paracelsusstrasse 30, 91413 Neustadt a. d. Aisch",Klinik Neustadt a. d. Aisch Anästhesie und Intensivmedizin Paracelsusstrasse 30 91413 Neustadt a. d. Aisch,Intensivstation Website,BY,Ausgelastet,Verfügbar,Nicht verfügbar,21.03.2020 09:14,"(49.5826078, 10.6213897)"
46,Helios Klinikum Niederberg,"Robert-Koch-Straße 2, 42549 Velbert","Helios Klinikum Niederberg Klinik für Anästhesiologie, Intensivmedizin und Schmerztherapie Robert-Koch-Straße 2 42549 Velbert",Intensivstation Station 14 Website,NRW,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 11:50,"(51.3503039, 7.0116891)"
47,medius KLINIKEN KIRCHHEIM|NÜRTINGEN,"Charlottenstraße 10, 73230 Kirchheim unter Teck",medius KLINIKEN KIRCHHEIM|NÜRTINGEN Charlottenstraße 10 73230 Kirchheim unter Teck,Website,BW,Begrenzt,Verfügbar,Nicht verfügbar,21.03.2020 12:38,"(48.6539715, 9.4420276)"
48,Paracelsus-Klinik Zwickau,"Werdauer Straße 68, 8060 Zwickau",Paracelsus-Klinik Zwickau Intensivmedizin Werdauer Straße 68 8060 Zwickau,ITS Website,SN,Begrenzt,Begrenzt,Nicht verfügbar,20.03.2020 19:04,"(50.72238745, 12.471731274132534)"
49,medius KLINIK OSTFILDERN-RUIT,"Hedelfinger Straße 166, 73760 Ostfildern",medius KLINIK OSTFILDERN-RUIT Hedelfinger Straße 166 73760 Ostfildern,Website,BW,Begrenzt,Begrenzt,Nicht verfügbar,21.03.2020 12:36,"(48.74158425, 9.25496490707727)"
50,Robert-Bosch Krankenhaus,"Auerbachstr. 110, 70376 Stuttgart",Robert-Bosch Krankenhaus Kardiologie Auerbachstr. 110 70376 Stuttgart,Innere Intensivstation 1D Website,BW,Verfügbar,Verfügbar,Begrenzt,20.03.2020 18:45,"(48.81430435, 9.186222290775486)"
51,Vivantes Humboldt-Klinikum,"Am Nordgraben 2, 13509 Berlin",Vivantes Humboldt-Klinikum Klinik für interdisziplinäre Intensivmedizin Am Nordgraben 2 13509 Berlin,19 Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 18:45,"(52.5901041, 13.3098754)"
52,Oberschwabenklinik Bad Waldsee,"Robert-Koch-Strasse 38, 88339 Bad Waldsee",Oberschwabenklinik Bad Waldsee Innere Medizin Robert-Koch-Strasse 38 88339 Bad Waldsee,ITS Website,BW,Ausgelastet,Verfügbar,Nicht verfügbar,20.03.2020 18:42,"(47.924775249999996, 9.760285067514834)"
53,Allgemeines Krankenhaus Celle,"Siemensplatz 4, 29223 Celle",Allgemeines Krankenhaus Celle Pädiatrie Siemensplatz 4 29223 Celle,M0 Website,NI,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 18:39,"(52.6285336, 10.0854833)"
54,Charité CVK Kinderklinik (OHC) - interdisziplinäre Kinderintensivstation,"Augustenburger Platz 1, 13353 Berlin",Charité CVK Kinderklinik (OHC) - interdisziplinäre Kinderintensivstation Kinderklinik - PPI Augustenburger Platz 1 13353 Berlin,Station 25i Website,BE,Verfügbar,Begrenzt,Nicht verfügbar,20.03.2020 18:46,"(52.5422772, 13.3473804)"
55,Caritaskrankenhaus Bad Mergentheim,"Uhlandstrasse 7, 97980 Bad Mergentheim",Caritaskrankenhaus Bad Mergentheim IM1/ Anästhesiologie Uhlandstrasse 7 97980 Bad Mergentheim,Z1/ Z2 Website,BW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 18:41,"(49.49043745, 9.763829126397066)"
56,"AK Nord, Hamburg, Pädiatrische Intensivstation","Tangstedter Landstr. 400, 22417 Hamburg","AK Nord, Hamburg, Pädiatrische Intensivstation KinderHeidberg Tangstedter Landstr. 400 22417 Hamburg",Pädiatrische Intensivstation H71B Website,HH,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 18:34,"(53.6747354, 10.0291287)"
57,"Klinikum Kempten, Klinikverbund Allgäu","Robert-Weixler-Straße 50, 87439 Kempten","Klinikum Kempten, Klinikverbund Allgäu Klinik für Anästhesie, Intensiv- und Notfallmedizin Robert-Weixler-Straße 50 87439 Kempten",Interdisziplinäre Intensivstation D01 Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 07:56,"(47.7324862, 10.302889627233625)"
58,MediClin Herzzentrum Coswig,"Lerchenfeld 1, 6869 Coswig",MediClin Herzzentrum Coswig Klinik für Anästhesiologie und 'Intensivmedizin Lerchenfeld 1 6869 Coswig,ITS/IMC Website,ST,Verfügbar,Verfügbar,Verfügbar,20.03.2020 18:33,"(51.87812685, 12.477909659145212)"
59,SLK-Klinikum am Gesundbrunnen Heilbronn,"Am Gesundbrunnen 20-26, 74078 Heilbronn",SLK-Klinikum am Gesundbrunnen Heilbronn Am Gesundbrunnen 20-26 74078 Heilbronn,Website,BW,Verfügbar,Verfügbar,Verfügbar,20.03.2020 18:28,"(49.1533367, 9.190612812286831)"
60,MEDICLIn Müritz-Klinikum,"Weinbergstrasse 19, 17192 Waren",MEDICLIn Müritz-Klinikum Klinik für Anästhesie & Intensivmedizin Weinbergstrasse 19 17192 Waren,ITS Website,MV,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 18:25,"(53.522382449999995, 12.685975477083332)"
61,Asklepios Klinik Oberviechtach,"Teunzer Str. 15, 92526 Oberviechtach",Asklepios Klinik Oberviechtach Innere Medizin Teunzer Str. 15 92526 Oberviechtach,IMC Website,BY,Verfügbar,Ausgelastet,Nicht verfügbar,20.03.2020 18:20,"(49.46167715, 12.41203620674183)"
62,Charité Universitätsmedizin Medizinische Klinik für Kardiologie CBF,"Hindenburgdamm 30, 12200 Berlin",Charité Universitätsmedizin Medizinische Klinik für Kardiologie CBF Medizinische Klinik für Kardiologie CBF Hindenburgdamm 30 12200 Berlin,s32a Website,BE,Verfügbar,Begrenzt,Verfügbar,21.03.2020 11:46,"(52.44222635, 13.321197832134576)"
63,Klinikum Itzehoe,"Robert-Koch-Str. 2, 25524 Itzehoe","Klinikum Itzehoe Anästh., Innere Med., Päd. Int. Robert-Koch-Str. 2 25524 Itzehoe","19, 10, 01 Website",SH,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 13:19,"(53.9420935, 9.503728380812515)"
64,"ALB FILS KLINIKEN, Standort: Klinik am Eichert","Eichertstr. 3, 73035 Göppingen","ALB FILS KLINIKEN, Standort: Klinik am Eichert Zentrum für Intensivmedizin Eichertstr. 3 73035 Göppingen",Zentrum für Intensivmedizin Website,BW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 13:15,"(48.690295250000005, 9.651258405324938)"
65,Universitätsklinikum Marburg UKGM,"Baldinger Str, 35043 Marburg",Universitätsklinikum Marburg UKGM Anästhesie Baldinger Str 35043 Marburg,Intensivstation 2a/b Website,HE,Verfügbar,Verfügbar,Verfügbar,20.03.2020 17:31,"(50.8163655, 8.8056549)"
66,St. Vinzenz-Krankenhaus,"Schloßstr. 85, 40477 Düsseldorf",St. Vinzenz-Krankenhaus Anästhesie/Innere Schloßstr. 85 40477 Düsseldorf,"Intensivstation, interdisziplinär Website",NRW,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 17:26,"(51.242645949999996, 6.791337291754802)"
67,Israelitisches Krankenhaus,"Orchideenstieg 14, 22297 Hamburg",Israelitisches Krankenhaus Abteilung für Anästhesiologie und Intensivmedizin Orchideenstieg 14 22297 Hamburg,Intensivstation Website,HH,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 17:19,"(53.6058784, 9.9911486)"
68,"Evangelisches Klinikum Bethel, Johannesstift","Schildescher Strasse 99, 33611 Bielefeld","Evangelisches Klinikum Bethel, Johannesstift Schildescher Strasse 99 33611 Bielefeld",Website,NRW,Begrenzt,Verfügbar,Nicht verfügbar,20.03.2020 17:16,"(52.0417499, 8.5407385)"
69,AMEOS Klinikum Schönebeck,"Am Gradierwerk 3, 39218 Schönebeck",AMEOS Klinikum Schönebeck Innere Medizin Am Gradierwerk 3 39218 Schönebeck,Innere ITS Website,ST,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 17:13,"(51.996206799999996, 11.716650293903395)"
70,REGIOMED Klinikum Coburg,"Ketschendorfer Str. 33, 96450 Coburg",REGIOMED Klinikum Coburg Abteilung für Intensivmedizin Ketschendorfer Str. 33 96450 Coburg,41/42 Website,BY,Verfügbar,Verfügbar,Verfügbar,20.03.2020 17:05,"(50.247009750000004, 10.973138684644091)"
71,Malteser Krankenhaus St. Carolus,"Carolusstraße 212, 2827 Görlitz",Malteser Krankenhaus St. Carolus Carolusstraße 212 2827 Görlitz,Website,SN,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 16:56,"(51.1442835, 14.938212916737376)"
72,Helios Klinikum Hildesheim internistische Intensiv,"Senator Braun Allee 33, 31135 Hildesheim",Helios Klinikum Hildesheim internistische Intensiv Kardiologie Senator Braun Allee 33 31135 Hildesheim,B2 Intensiv Website,NI,Ausgelastet,Begrenzt,Nicht verfügbar,20.03.2020 16:52,"(52.1514368, 9.9755055)"
73,St. Josef Hospital Med. Klinik I (Kardiologie-Intensivmedizin),"Elmarstr. 38, 33014 Bad Driburg",St. Josef Hospital Med. Klinik I (Kardiologie-Intensivmedizin) Med. Klinik I Elmarstr. 38 33014 Bad Driburg,Kardiologie - Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 12:46,"(51.74190965, 9.01053208766336)"
74,Klinikum Worms,"Gabriel-von-Seidl-Str. 81, 67550 Worms",Klinikum Worms Klinik für Anästhesiologie und Intensivmedizin / Kliniken für Innere Medizin Gabriel-von-Seidl-Str. 81 67550 Worms,Interdisziplinäre Intensivstationen Website,RP,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 16:34,"(49.64931305, 8.319566883729339)"
75,Drk Kliniken Berlin Westend,"Spandauer Damm 130, 14050 Berlin",Drk Kliniken Berlin Westend Anästhesie Spandauer Damm 130 14050 Berlin,Intensivstation Website,BE,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 11:12,"(52.52066095, 13.277554181710645)"
76,Asklepios Paulinen Klinik Wiesbaden,"Geisenheimer Str. 10, 65197 Wiesbaden",Asklepios Paulinen Klinik Wiesbaden Klinik für Anästhesie und Intensivmedizin Geisenheimer Str. 10 65197 Wiesbaden,Intensivstation Website,HE,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 16:30,"(50.07187895, 8.227005931462175)"
77,Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital der LMU München,"Lindwurmstr. 4, 80337 München",Kinderklinik und Kinderpoliklinik im Dr. von Haunerschen Kinderspital der LMU München Lindwurmstr. 4 80337 München,Interdisziplinäre Kinderintensivstation Website,BY,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 16:07,"(48.1302821, 11.5592053)"
78,Kreiskrankenhaus Prenzlau,"Stettiner Str. 121, 17291 Prenzlau","Kreiskrankenhaus Prenzlau Anästhesiologie und Intensivmedzin, Notfallzentrum Stettiner Str. 121 17291 Prenzlau",ITS Website,BB,Verfügbar,Begrenzt,Nicht verfügbar,21.03.2020 09:32,"(53.3343791, 13.8679526732475)"
79,Marien-Hospital,"Hervester Str. 57, 45768 Marl",Marien-Hospital Innere Medizin/Kardiologie/Anästhesie Hervester Str. 57 45768 Marl,Interdisziplinäre Intensivstation Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 09:59,"(51.6522828, 7.084370753037968)"
80,Klinikum am Steinenberg,"Steinenbergstraße 31, 72764 Reutlingen",Klinikum am Steinenberg Zentrum für Intensivmedizin Steinenbergstraße 31 72764 Reutlingen,D5i Website,BW,Verfügbar,Verfügbar,Verfügbar,20.03.2020 15:38,"(48.4834819, 9.2181351)"
81,Herz jesu Krankenhaus Münster-Hiltrup,"Westfalenstrasse 109, 48165 Münster",Herz jesu Krankenhaus Münster-Hiltrup Interdisziplinär Westfalenstrasse 109 48165 Münster,Intensivstation 1b Website,NRW,Verfügbar,Verfügbar,Nicht verfügbar,21.03.2020 18:27,"(51.9091249, 7.6343733)"
82,Evangelisches Stadtkrankenhaus Saarbrücken,"Großherzog Friedrich Str. 44, 66111 Saarbrücken",Evangelisches Stadtkrankenhaus Saarbrücken Innere Medizin Großherzog Friedrich Str. 44 66111 Saarbrücken,Interdisziplinäre Intensivstation Website,SL,Verfügbar,Verfügbar,Nicht verfügbar,20.03.2020 15:34,"(49.2327382, 7.003611715500887)"
